matchNUM,duration,timeStamp,mapName,modeName,t1_id,t1_name,t1_color,t1_score,t2_id,t2_name,t2_color,t2_score,playerName,playerTeamId,playerTimePlayed,playerOutcome,playerPlacement,playerTypeInt,playerScore,playerPersonalScore,playerRoundsWon,playerRoundsLost,playerRoundsTied,playerKills,playerDeaths,playerAssists,playerKDA,playerKDRatio,playerBetrayals,playerGrenadeKills,playerHeadshotKills,playerMeleeKills,playerPowerWeaponKills,playerShotsFired,playerShotsHit,playerAccuracy,playerDamageDealt,playerDamageTaken,playerCalloutAssists,playerVehicleDestroys,playerDriverAssists,playerHijacks,playerEmpAssists,playerMaxKillingSpree,rating,flagCaptureAssists,flagCaptures,flagCarriersKilled,flagGrabs,flagReturnersKilled,flagReturns,flagSecures,flagSteals,killsAsFlagCarrier,killsAsFlagReturner,timeAsFlagCarrier,killsAsSkullCarrier,longestTimeAsSkullCarrier,skullCarriersKilled,skullGrabs,timeAsSkullCarrier,skullScoringTicks
11,387.6644101,2021-12-31T02:03:56.052+00:00,Recharge,Ranked:Strongholds,0,Eagle,blue,122,1,Cobra,red,250,StelluR,1,387.641,Win,1,1,0,1675,1,0,0,13,9,3,5,1.444444444,0,2,7,1,2,389,136,34.96,3008,3327,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
11,387.6644101,2021-12-31T02:03:56.052+00:00,Recharge,Ranked:Strongholds,0,Eagle,blue,122,1,Cobra,red,250,Renegade JW,1,387.641,Win,1,1,0,1775,1,0,0,14,6,5,9,2.333333333,0,0,10,1,0,259,163,62.93,3523,2445,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
11,387.6644101,2021-12-31T02:03:56.052+00:00,Recharge,Ranked:Strongholds,0,Eagle,blue,122,1,Cobra,red,250,Sargoth,0,387.641,Loss,5,1,0,1800,0,1,0,14,12,5,3,1.166666667,0,0,7,4,0,325,140,43.07,3426,3612,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
11,387.6644101,2021-12-31T02:03:56.052+00:00,Recharge,Ranked:Strongholds,0,Eagle,blue,122,1,Cobra,red,250,Commonly FLYS,0,387.641,Loss,5,1,0,975,0,1,0,8,9,0,-1,0.888888889,0,0,6,1,0,301,132,43.85,2519,2486,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
11,387.6644101,2021-12-31T02:03:56.052+00:00,Recharge,Ranked:Strongholds,0,Eagle,blue,122,1,Cobra,red,250,The Eco Smith,1,387.641,Win,1,1,0,2025,1,0,0,15,7,7,10,2.142857143,0,1,10,2,2,284,179,63.02,3689,2841,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
11,387.6644101,2021-12-31T02:03:56.052+00:00,Recharge,Ranked:Strongholds,0,Eagle,blue,122,1,Cobra,red,250,Squallaye,0,387.641,Loss,5,1,0,950,0,1,0,4,12,10,-5,0.333333333,0,1,2,1,0,284,176,61.97,2566,3221,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
11,387.6644101,2021-12-31T02:03:56.052+00:00,Recharge,Ranked:Strongholds,0,Eagle,blue,122,1,Cobra,red,250,Pznguin,1,387.641,Win,1,1,0,1225,1,0,0,5,12,8,-5,0.416666667,0,0,4,0,0,270,138,51.11,2217,3143,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
11,387.6644101,2021-12-31T02:03:56.052+00:00,Recharge,Ranked:Strongholds,0,Eagle,blue,122,1,Cobra,red,250,PreDevoNatoR,0,387.641,Loss,5,1,0,1150,0,1,0,8,14,4,-5,0.571428571,0,1,5,2,0,310,153,49.35,2979,3518,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
10,406.0592768,2021-12-31T01:54:50.098+00:00,Live Fire,Ranked:Slayer,0,Eagle,blue,47,1,Cobra,red,50,StelluR,1,406.047,Win,1,1,20,2050,1,0,0,20,12,1,8,1.666666667,0,0,14,4,1,401,216,53.86,4707,3688,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,
10,406.0592768,2021-12-31T01:54:50.098+00:00,Live Fire,Ranked:Slayer,0,Eagle,blue,47,1,Cobra,red,50,Renegade JW,1,406.047,Win,2,1,13,1450,1,0,0,13,12,3,2,1.083333333,0,2,9,2,0,293,153,52.21,3511,3650,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
10,406.0592768,2021-12-31T01:54:50.098+00:00,Live Fire,Ranked:Slayer,0,Eagle,blue,47,1,Cobra,red,50,Sargoth,0,406.047,Loss,8,1,8,1250,0,1,0,8,13,9,-2,0.615384615,0,0,7,1,0,396,164,41.41,3057,3914,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
10,406.0592768,2021-12-31T01:54:50.098+00:00,Live Fire,Ranked:Slayer,0,Eagle,blue,47,1,Cobra,red,50,Commonly FLYS,0,406.047,Loss,7,1,11,1450,0,1,0,11,14,7,-1,0.785714286,0,2,9,0,0,321,158,49.22,3336,3350,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
10,406.0592768,2021-12-31T01:54:50.098+00:00,Live Fire,Ranked:Slayer,0,Eagle,blue,47,1,Cobra,red,50,The Eco Smith,1,406.047,Win,4,1,7,1200,1,0,0,7,13,10,-3,0.538461538,0,1,4,2,0,269,182,67.65,3165,3583,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
10,406.0592768,2021-12-31T01:54:50.098+00:00,Live Fire,Ranked:Slayer,0,Eagle,blue,47,1,Cobra,red,50,Squallaye,0,406.047,Loss,6,1,13,1500,0,1,0,13,12,4,2,1.083333333,0,1,9,3,0,240,141,58.74,3088,3569,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
10,406.0592768,2021-12-31T01:54:50.098+00:00,Live Fire,Ranked:Slayer,0,Eagle,blue,47,1,Cobra,red,50,Pznguin,1,406.047,Win,3,1,10,1350,1,0,0,10,10,7,2,1,0,0,9,1,1,246,124,50.4,3098,2966,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,
10,406.0592768,2021-12-31T01:54:50.098+00:00,Live Fire,Ranked:Slayer,0,Eagle,blue,47,1,Cobra,red,50,PreDevoNatoR,0,406.047,Loss,5,1,15,1800,0,1,0,15,11,6,6,1.363636364,0,1,10,2,0,452,222,49.11,4128,3692,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
9,594.4060668,2021-12-31T01:45:07.476+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,1,1,Cobra,red,5,StelluR,1,594.391,Win,2,1,1,2605,1,0,0,14,12,14,6,1.166666667,0,0,13,1,0,562,261,46.44,5273,4835,0,0,0,0,0,4,,1,1,0,10,0,2,8,1,0,0,00:11.4,,,,,,
9,594.4060668,2021-12-31T01:45:07.476+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,1,1,Cobra,red,5,Renegade JW,1,594.391,Win,2,1,1,2780,1,0,0,18,13,8,7,1.384615385,0,2,13,3,0,399,216,54.13,4985,4615,0,0,0,0,0,5,,2,1,0,11,0,0,7,2,1,0,00:26.6,,,,,,
9,594.4060668,2021-12-31T01:45:07.476+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,1,1,Cobra,red,5,Sargoth,0,594.391,Loss,6,1,0,1435,0,1,0,7,19,14,-8,0.368421053,0,0,4,3,0,441,254,57.59,4449,5390,0,0,0,0,0,2,,0,0,0,1,0,1,1,0,0,0,00:01.8,,,,,,
9,594.4060668,2021-12-31T01:45:07.476+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,1,1,Cobra,red,5,Commonly FLYS,0,594.391,Loss,6,1,0,1580,0,1,0,13,15,3,-1,0.866666667,0,0,8,3,0,396,216,54.54,4197,3854,0,0,0,0,0,3,,1,0,0,7,0,0,3,0,0,0,00:23.9,,,,,,
9,594.4060668,2021-12-31T01:45:07.476+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,1,1,Cobra,red,5,The Eco Smith,1,594.391,Win,2,1,1,2665,1,0,0,21,13,4,9,1.615384615,0,1,14,4,0,406,217,53.44,4321,4145,0,0,0,0,0,5,,0,1,0,8,1,0,7,1,0,0,00:04.1,,,,,,
9,594.4060668,2021-12-31T01:45:07.476+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,1,1,Cobra,red,5,Squallaye,0,594.391,Loss,6,1,0,1580,0,1,0,14,19,2,-5,0.736842105,0,0,12,1,1,404,233,57.67,4333,4640,0,0,0,0,0,6,,0,0,1,11,0,0,7,1,0,0,00:33.2,,,,,,
9,594.4060668,2021-12-31T01:45:07.476+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,1,1,Cobra,red,5,Pznguin,1,594.391,Win,1,1,2,3065,1,0,0,17,9,9,11,1.888888889,0,2,10,1,0,465,195,41.93,4038,3926,0,0,0,0,0,4,,2,2,0,44,0,0,14,3,0,1,00:25.1,,,,,,
9,594.4060668,2021-12-31T01:45:07.476+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,1,1,Cobra,red,5,PreDevoNatoR,0,594.391,Loss,5,1,1,1880,0,1,0,13,17,4,-3,0.764705882,0,0,10,3,0,484,253,52.27,4119,5227,0,0,0,0,0,4,,0,1,0,10,1,0,6,2,0,0,00:14.3,,,,,,
8,423.4196309,2021-12-31T01:33:20.733+00:00,Aquarius,Ranked:Slayer,0,Eagle,blue,39,1,Cobra,red,50,StelluR,1,423.422,Win,1,1,19,2150,1,0,0,19,9,5,11,2.111111111,0,2,13,2,0,429,220,51.28,4481,3263,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,
8,423.4196309,2021-12-31T01:33:20.733+00:00,Aquarius,Ranked:Slayer,0,Eagle,blue,39,1,Cobra,red,50,Renegade JW,1,423.422,Win,2,1,16,1900,1,0,0,16,9,6,9,1.777777778,0,0,12,3,0,268,154,57.46,3655,3074,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
8,423.4196309,2021-12-31T01:33:20.733+00:00,Aquarius,Ranked:Slayer,0,Eagle,blue,39,1,Cobra,red,50,Sargoth,0,423.422,Loss,6,1,11,1350,0,1,0,11,11,5,1,1,0,1,5,3,0,327,152,46.48,3127,3154,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
8,423.4196309,2021-12-31T01:33:20.733+00:00,Aquarius,Ranked:Slayer,0,Eagle,blue,39,1,Cobra,red,50,Commonly FLYS,0,423.422,Loss,5,1,12,1500,0,1,0,12,12,6,2,1,0,0,8,1,0,447,201,44.96,3206,3494,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
8,423.4196309,2021-12-31T01:33:20.733+00:00,Aquarius,Ranked:Slayer,0,Eagle,blue,39,1,Cobra,red,50,The Eco Smith,1,423.422,Win,3,1,8,1150,1,0,0,8,12,7,-2,0.666666667,0,3,3,1,0,261,129,49.42,2082,3378,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
8,423.4196309,2021-12-31T01:33:20.733+00:00,Aquarius,Ranked:Slayer,0,Eagle,blue,39,1,Cobra,red,50,Squallaye,0,423.422,Loss,7,1,8,1000,0,1,0,8,13,4,-4,0.615384615,0,1,6,0,0,349,176,50.42,3214,3188,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
8,423.4196309,2021-12-31T01:33:20.733+00:00,Aquarius,Ranked:Slayer,0,Eagle,blue,39,1,Cobra,red,50,Pznguin,1,423.422,Win,4,1,7,1250,1,0,0,7,9,11,1,0.777777778,0,0,4,3,0,425,202,47.52,3136,3472,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
8,423.4196309,2021-12-31T01:33:20.733+00:00,Aquarius,Ranked:Slayer,0,Eagle,blue,39,1,Cobra,red,50,PreDevoNatoR,0,423.422,Loss,7,1,8,1200,0,1,0,8,14,8,-4,0.571428571,0,1,4,3,0,336,198,58.92,3609,3548,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
7,756.2092616,2021-12-31T01:18:44.062+00:00,Recharge,Ranked:Oddball,0,Eagle,blue,76,1,Cobra,red,200,StelluR,1,748.64,Win,2,1,73,2940,2,0,0,19,16,7,5,1.1875,0,1,13,4,0,509,255,50.09,5003,5363,0,0,0,0,0,3,,,,,,,,,,,,,0,00:20.7,0,1,01:15.5,73
7,756.2092616,2021-12-31T01:18:44.062+00:00,Recharge,Ranked:Oddball,0,Eagle,blue,76,1,Cobra,red,200,Renegade JW,1,748.64,Win,4,1,18,3495,2,0,0,27,19,13,12,1.421052632,0,1,21,3,2,718,354,49.3,7353,5805,0,0,0,0,0,7,,,,,,,,,,,,,0,00:10.7,1,1,00:20.8,18
7,756.2092616,2021-12-31T01:18:44.062+00:00,Recharge,Ranked:Oddball,0,Eagle,blue,76,1,Cobra,red,200,Sargoth,0,748.64,Loss,5,1,36,2535,0,2,0,19,18,5,2,1.055555556,0,0,13,4,0,644,315,48.91,5502,5853,0,0,0,0,0,3,,,,,,,,,,,,,0,00:21.4,1,0,00:41.6,36
7,756.2092616,2021-12-31T01:18:44.062+00:00,Recharge,Ranked:Oddball,0,Eagle,blue,76,1,Cobra,red,200,Commonly FLYS,0,748.64,Loss,6,1,28,1870,0,2,0,12,22,9,-7,0.545454545,0,0,11,1,0,543,258,47.51,4722,6071,0,0,0,0,0,3,,,,,,,,,,,,,0,00:15.1,0,0,00:29.1,28
7,756.2092616,2021-12-31T01:18:44.062+00:00,Recharge,Ranked:Oddball,0,Eagle,blue,76,1,Cobra,red,200,The Eco Smith,1,748.64,Win,3,1,20,2990,2,0,0,20,18,16,7,1.111111111,0,3,12,5,0,573,331,57.76,6406,5777,0,0,0,0,0,5,,,,,,,,,,,,,1,0:00:13,2,0,00:22.1,20
7,756.2092616,2021-12-31T01:18:44.062+00:00,Recharge,Ranked:Oddball,0,Eagle,blue,76,1,Cobra,red,200,Squallaye,0,748.64,Loss,7,1,7,2980,0,2,0,21,21,16,5,1,0,1,17,3,0,644,374,58.07,6439,6071,0,0,0,0,0,4,,,,,,,,,,,,,0,00:07.1,0,0,00:07.9,7
7,756.2092616,2021-12-31T01:18:44.062+00:00,Recharge,Ranked:Oddball,0,Eagle,blue,76,1,Cobra,red,200,Pznguin,1,748.64,Win,1,1,89,3370,2,0,0,20,18,10,5,1.111111111,0,2,14,2,0,472,280,59.32,5665,5586,0,0,0,0,0,4,,,,,,,,,,,,,0,0:00:32,0,2,01:33.3,89
7,756.2092616,2021-12-31T01:18:44.062+00:00,Recharge,Ranked:Oddball,0,Eagle,blue,76,1,Cobra,red,200,PreDevoNatoR,0,748.64,Loss,8,1,5,2440,0,2,0,19,25,10,-3,0.76,0,0,17,0,0,593,287,48.39,5749,6620,0,0,0,0,0,3,,,,,,,,,,,,,0,00:03.9,0,0,00:10.5,5
6,690.2883391,2021-12-31T00:58:07.412+00:00,Streets,Ranked:Strongholds,0,Eagle,blue,250,1,Cobra,red,189,StelluR,1,690.25,Loss,5,1,0,2200,0,1,0,13,20,9,-4,0.65,0,0,7,3,0,554,267,48.19,4601,5867,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
